data;
set NODES:=0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 ;
set ARCS:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 ;
7 -1 -1 -1 800 200 100 200 0 100 200 800 525 100 200 400 800 200 100 300 100 200 800 400 800 200 525 800 200 200 0 0 0 225 100 800 200 800 200 400 450 100 100 800 100 200 800 525 100 800 200 200 0 0 0 800 200 400 400 200 400 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
8 -1 -1 -1 500 525 600 500 400 0 500 500 500 600 500 400 500 500 600 450 600 500 500 400 500 500 500 500 500 500 400 500 500 0 600 500 500 500 500 400 450 600 600 500 600 500 500 500 600 500 500 500 500 500 500 0 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
9 -1 -1 -1 100 450 400 800 200 400 0 100 200 400 800 200 100 800 400 500 400 800 100 200 100 800 200 100 800 800 200 100 800 550 0 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 0 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
10 -1 -1 500 -1 500 700 500 100 700 500 0 600 700 500 100 800 500 700 300 700 500 800 100 800 500 600 800 500 500 100 800 500 450 700 0 0 0 500 100 375 700 700 800 700 500 800 600 700 800 500 500 800 500 460 800 500 0 0 0 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
11 -1 -1 425 -1 325 525 425 250 525 425 725 0 525 425 250 725 425 525 225 525 425 725 250 725 425 375 725 425 425 250 725 425 300 525 725 425 725 0 0 0 0 0 725 525 425 725 375 525 725 425 425 725 425 325 725 425 250 250 425 0 0 0 0 0 425 250 725 245 725 425 425 725 525 250 205 725 525 250 425 0
12 -1 -1 500 500 -1 600 500 400 600 500 500 500 0 500 400 500 500 600 450 600 500 500 400 500 500 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 600 500 600 500 500 500 600 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 -1 -1 -1 100 450 -1 800 200 400 800 100 200 400 0 200 100 800 400 500 400 800 100 200 100 800 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 0 0 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
14 -1 -1 -1 800 200 -1 200 400 100 200 800 525 100 200 0 800 200 100 300 100 200 800 400 800 200 525 800 200 200 400 800 200 225 100 800 200 800 200 400 450 100 100 800 100 200 800 525 100 800 0 200 800 200 220 800 200 400 400 200 400 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
15 -1 -1 -1 800 500 700 -1 100 700 500 800 600 700 500 100 0 500 700 300 700 500 800 100 800 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 700 500 800 600 700 800 500 0 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
16 -1 -1 -1 100 450 400 800 -1 400 800 100 200 400 800 200 100 0 400 500 400 800 100 200 100 800 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 0 0 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
17 -1 -1 -1 500 525 600 500 -1 600 500 500 500 600 500 400 500 500 0 450 600 500 500 400 500 500 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 600 500 600 500 500 500 600 500 500 500 500 500 0 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
18 -1 -1 -1 450 225 250 500 300 -1 500 450 175 250 500 300 450 500 250 0 250 500 450 300 450 500 175 450 500 500 300 450 500 250 250 450 500 450 500 300 225 250 250 450 250 500 450 175 250 450 500 500 450 500 300 0 500 300 300 500 300 250 300 500 250 500 300 450 200 450 500 500 450 250 300 170 450 250 300 500 0
19 -1 -1 -1 500 525 600 500 400 600 -1 500 500 600 500 400 500 500 600 450 0 500 500 400 500 500 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 600 500 600 500 500 500 600 500 500 500 500 500 500 500 0 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
20 -1 -1 800 -1 450 400 800 200 400 800 -1 200 400 800 200 100 800 400 500 400 0 100 200 100 800 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 0 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
21 -1 -1 500 -1 500 700 500 100 700 500 -1 600 700 500 100 800 500 700 300 700 500 0 100 800 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 700 500 800 600 700 800 500 500 800 500 460 800 500 100 0 0 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
22 -1 -1 200 -1 200 100 200 400 100 200 800 -1 100 200 400 800 200 100 300 100 200 800 0 800 200 525 800 200 200 400 800 200 225 100 800 200 800 200 400 450 100 100 800 100 200 800 525 100 800 200 200 800 200 220 800 200 400 400 200 0 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
23 -1 -1 500 -1 500 700 500 100 700 500 800 -1 700 500 100 800 500 700 300 700 500 800 100 0 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 700 500 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 0 0 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
24 -1 -1 800 -1 450 400 800 200 400 800 100 -1 400 800 200 100 800 400 500 400 800 100 200 100 0 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 0 0 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
25 -1 -1 -1 725 325 -1 425 250 525 425 725 375 525 -1 250 725 425 525 225 525 425 725 250 725 425 0 725 425 425 250 725 425 300 525 725 425 725 425 250 225 525 525 725 525 425 725 375 525 725 425 425 725 425 325 725 425 250 250 425 250 200 250 425 525 425 250 725 245 725 425 425 725 525 250 205 725 525 250 425 0
26 -1 -1 -1 800 500 -1 500 100 700 500 800 600 700 -1 100 800 500 700 300 700 500 800 100 800 500 600 0 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 700 500 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
27 -1 -1 -1 100 450 -1 800 200 400 800 100 200 400 800 -1 100 800 400 500 400 800 100 200 100 800 200 100 0 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
28 -1 -1 -1 100 450 400 -1 200 400 800 100 200 400 800 200 -1 800 400 500 400 800 100 200 100 800 200 100 800 0 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
29 -1 -1 -1 800 200 100 200 -1 100 200 800 525 100 200 400 800 -1 100 300 100 200 800 400 800 200 525 800 200 200 0 800 200 225 100 800 200 800 200 400 450 100 100 800 100 200 800 525 100 800 200 200 800 200 220 800 200 400 400 200 400 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
30 -1 -1 -1 800 500 700 500 -1 700 500 800 600 700 500 100 800 -1 700 300 700 500 800 100 800 500 600 800 500 500 100 0 500 450 700 800 500 800 500 100 375 700 700 800 700 500 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
31 -1 -1 -1 100 450 400 800 -1 400 800 100 200 400 800 200 100 800 -1 500 400 800 100 200 100 800 200 100 800 800 200 100 0 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
32 -1 -1 -1 375 300 375 575 300 -1 575 375 175 375 575 300 375 575 375 -1 375 575 375 300 375 575 175 375 575 575 300 375 575 0 375 375 575 375 575 300 225 375 375 375 375 575 375 175 375 375 575 575 375 575 375 375 575 300 300 575 300 250 300 575 375 575 300 375 275 375 575 575 375 375 300 255 375 375 300 575 0
33 -1 -1 -1 500 525 600 500 400 600 -1 500 500 600 500 400 500 500 600 450 -1 500 500 400 500 500 500 500 500 500 400 500 500 500 0 500 500 500 500 400 450 600 600 500 600 500 500 500 600 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
34 -1 -1 500 -1 500 700 500 100 700 500 -1 600 700 500 100 800 500 700 300 700 -1 800 100 800 500 600 800 500 500 100 800 500 450 700 0 500 800 500 100 375 700 700 800 700 500 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
35 -1 -1 800 -1 450 400 800 200 400 800 -1 200 400 800 200 100 800 400 500 400 800 -1 200 100 800 200 100 800 800 200 100 800 550 400 100 0 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
36 -1 -1 500 -1 500 700 500 100 700 500 -1 600 700 500 100 800 500 700 300 700 500 -1 100 800 500 600 800 500 500 100 800 500 450 700 800 500 0 500 100 375 700 700 800 700 500 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
37 -1 -1 800 -1 450 400 800 200 400 800 100 -1 400 800 200 100 800 400 500 400 800 100 -1 100 800 200 100 800 800 200 100 800 550 400 100 800 100 0 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
38 -1 -1 200 -1 200 100 200 400 100 200 800 -1 100 200 400 800 200 100 300 100 200 800 400 -1 200 525 800 200 200 400 800 200 225 100 800 200 800 200 0 450 100 100 800 100 200 800 525 100 800 200 200 800 200 220 800 200 400 400 200 400 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
39 -1 -1 425 -1 200 325 425 275 325 425 625 -1 325 425 275 625 425 325 175 325 425 625 275 -1 425 275 625 425 425 275 625 425 225 325 625 425 625 425 275 0 325 325 625 325 425 625 275 325 625 425 425 625 425 255 625 425 275 275 425 275 225 275 425 325 425 275 625 175 625 425 425 625 325 275 145 625 325 275 425 0
40 -1 -1 500 -1 525 600 500 400 600 500 500 -1 600 500 400 500 500 600 450 600 500 500 400 500 -1 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 0 600 500 600 500 500 500 600 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
41 -1 -1 500 -1 525 600 500 400 600 500 500 -1 600 500 400 500 500 600 450 600 500 500 400 500 -1 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 0 500 600 500 500 500 600 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
42 -1 -1 500 800 -1 700 500 100 700 500 800 600 -1 500 100 800 500 700 300 700 500 800 100 800 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 0 700 500 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
43 -1 -1 500 500 -1 600 500 400 600 500 500 500 -1 500 400 500 500 600 450 600 500 500 400 500 500 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 600 500 0 500 500 500 600 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
44 -1 -1 800 100 -1 400 800 200 400 800 100 200 -1 800 200 100 800 400 500 400 800 100 200 100 800 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 0 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
45 -1 -1 500 800 -1 700 500 100 700 500 800 600 -1 500 100 800 500 700 300 700 500 800 100 800 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 700 500 0 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
46 -1 -1 425 725 -1 525 425 250 525 425 725 375 -1 425 250 725 425 525 225 525 425 725 250 725 425 375 725 425 425 250 725 425 300 525 725 425 725 425 250 225 525 525 725 525 425 725 0 525 725 425 425 725 425 325 725 425 250 250 425 250 200 250 425 525 425 250 725 245 725 425 425 725 525 250 205 725 525 250 425 0
47 -1 -1 -1 500 525 -1 500 400 600 500 500 500 600 -1 400 500 500 600 450 600 500 500 400 500 500 -1 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 600 500 600 500 500 500 0 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
48 -1 -1 -1 800 500 -1 500 100 700 500 800 600 700 -1 100 800 500 700 300 700 500 800 100 800 500 600 -1 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 700 500 800 600 700 0 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
49 -1 -1 -1 100 450 -1 800 200 400 800 100 200 400 800 -1 100 800 400 500 400 800 100 200 100 800 200 100 -1 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 0 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
50 -1 -1 -1 100 450 400 -1 200 400 800 100 200 400 800 200 -1 800 400 500 400 800 100 200 100 800 200 100 800 -1 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 0 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
51 -1 -1 -1 800 500 700 500 -1 700 500 800 600 700 500 100 800 -1 700 300 700 500 800 100 800 500 600 800 500 500 -1 800 500 450 700 800 500 800 500 100 375 700 700 800 700 500 800 600 700 800 500 500 0 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
52 -1 -1 -1 100 450 400 800 -1 400 800 100 200 400 800 200 100 -1 400 500 400 800 100 200 100 800 200 100 800 800 200 -1 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 0 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
53 -1 -1 -1 320 315 380 620 -1 380 620 320 180 380 620 280 320 620 -1 320 380 620 320 280 320 620 180 320 620 620 280 320 -1 370 380 320 620 320 620 280 220 380 380 320 380 620 320 180 380 320 620 620 320 620 0 320 620 280 280 620 280 230 280 620 380 620 280 320 290 320 620 620 320 380 280 260 320 380 280 620 0
54 -1 -1 -1 800 500 700 500 100 -1 500 800 600 700 500 100 800 500 700 -1 700 500 800 100 800 500 600 800 500 500 100 800 500 -1 700 800 500 800 500 100 375 700 700 800 700 500 800 600 700 800 500 500 800 500 460 0 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
55 -1 -1 -1 100 450 400 800 200 400 -1 100 200 400 800 200 100 800 400 500 -1 800 100 200 100 800 200 100 800 800 200 100 800 550 -1 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 0 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
56 -1 -1 200 -1 200 100 200 400 100 200 -1 525 100 200 400 800 200 100 300 100 -1 800 400 800 200 525 800 200 200 400 800 200 225 100 -1 200 800 200 400 450 100 100 800 100 200 800 525 100 800 200 200 800 200 220 800 200 0 400 200 400 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
57 -1 -1 200 -1 200 100 200 400 100 200 -1 525 100 200 400 800 200 100 300 100 200 -1 400 800 200 525 800 200 200 400 800 200 225 100 800 -1 800 200 400 450 100 100 800 100 200 800 525 100 800 200 200 800 200 220 800 200 400 0 200 400 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
58 -1 -1 800 -1 450 400 800 200 400 800 -1 200 400 800 200 100 800 400 500 400 800 -1 200 100 800 200 100 800 800 200 100 800 550 400 100 800 -1 800 200 325 400 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 0 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
59 -1 -1 200 -1 200 100 200 400 100 200 800 -1 100 200 400 800 200 100 300 100 200 800 -1 800 200 525 800 200 200 400 800 200 225 100 800 200 800 -1 400 450 100 100 800 100 200 800 525 100 800 200 200 800 200 220 800 200 400 400 200 0 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
60 -1 -1 290 -1 180 180 290 380 180 290 700 -1 180 290 380 700 290 180 280 180 290 700 380 -1 290 425 700 290 290 380 700 290 205 180 700 290 700 290 -1 350 180 180 700 180 290 700 425 180 700 290 290 700 290 200 700 290 380 380 290 380 0 380 290 180 290 380 700 230 700 290 290 700 180 380 250 700 180 380 290 0
61 -1 -1 200 -1 200 100 200 400 100 200 800 -1 100 200 400 800 200 100 300 100 200 800 400 -1 200 525 800 200 200 400 800 200 225 100 800 200 800 200 400 -1 100 100 800 100 200 800 525 100 800 200 200 800 200 220 800 200 400 400 200 400 350 0 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 400 200 0
62 -1 -1 800 -1 450 400 800 200 400 800 100 -1 400 800 200 100 800 400 500 400 800 100 200 100 -1 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 -1 400 100 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 0 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
63 -1 -1 500 -1 525 600 500 400 600 500 500 -1 600 500 400 500 500 600 450 600 500 500 400 500 -1 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 -1 500 600 500 500 500 600 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 0 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
64 -1 -1 800 100 -1 400 800 200 400 800 100 200 -1 800 200 100 800 400 500 400 800 100 200 100 800 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 400 400 -1 400 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 0 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
65 -1 -1 200 800 -1 100 200 400 100 200 800 525 -1 200 400 800 200 100 300 100 200 800 400 800 200 525 800 200 200 400 800 200 225 100 800 200 800 200 400 450 100 100 -1 100 200 800 525 100 800 200 200 800 200 220 800 200 400 400 200 400 350 400 200 100 200 0 800 250 800 200 200 800 100 400 270 800 100 400 200 0
66 -1 -1 500 800 -1 700 500 100 700 500 800 600 -1 500 100 800 500 700 300 700 500 800 100 800 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 -1 700 500 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 0 400 800 500 500 800 700 100 360 800 700 100 500 0
67 -1 -1 470 500 -1 340 470 340 340 470 500 255 -1 470 340 500 470 340 270 340 470 500 340 500 470 255 500 470 470 340 500 470 280 340 500 470 500 470 340 265 340 340 500 -1 470 500 255 340 500 470 470 500 470 300 500 470 340 340 470 340 290 340 470 340 470 340 500 0 500 470 470 500 340 340 240 500 340 340 470 0
68 -1 -1 500 800 -1 700 500 100 700 500 800 600 -1 500 100 800 500 700 300 700 500 800 100 800 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 -1 500 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 0 500 500 800 700 100 360 800 700 100 500 0
69 -1 -1 800 100 -1 400 800 200 400 800 100 200 -1 800 200 100 800 400 500 400 800 100 200 100 800 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 -1 800 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 0 800 100 400 200 380 100 400 200 800 0
70 -1 -1 800 100 -1 400 800 200 400 800 100 200 -1 800 200 100 800 400 500 400 800 100 200 100 800 200 100 800 800 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 -1 100 200 400 100 800 800 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 0 100 400 200 380 100 400 200 800 0
71 -1 -1 500 800 -1 700 500 100 700 500 800 600 -1 500 100 800 500 700 300 700 500 800 100 800 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 700 -1 800 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 0 700 100 360 800 700 100 500 0
72 -1 -1 500 500 -1 600 500 400 600 500 500 500 -1 500 400 500 500 600 450 600 500 500 400 500 500 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 600 500 600 -1 500 500 600 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 0 400 480 500 600 400 500 0
73 -1 -1 200 800 -1 100 200 400 100 200 800 525 -1 200 400 800 200 100 300 100 200 800 400 800 200 525 800 200 200 400 800 200 225 100 800 200 800 200 400 450 100 100 800 100 200 -1 525 100 800 200 200 800 200 220 800 200 400 400 200 400 350 400 200 100 200 400 800 250 800 200 200 800 100 0 270 800 100 400 200 0
74 -1 -1 410 570 -1 310 410 360 310 410 570 295 -1 410 360 570 410 310 260 310 410 570 360 570 410 295 570 410 410 360 570 410 260 310 570 410 570 410 360 295 310 310 570 310 410 -1 295 310 570 410 410 570 410 270 570 410 360 360 410 360 310 360 410 310 410 360 570 240 570 410 410 570 310 360 0 570 310 360 410 0
75 -1 -1 500 800 -1 700 500 100 700 500 800 600 -1 500 100 800 500 700 300 700 500 800 100 800 500 600 800 500 500 100 800 500 450 700 800 500 800 500 100 375 700 700 800 700 500 -1 600 700 800 500 500 800 500 460 800 500 100 100 500 100 200 100 500 700 500 100 800 400 800 500 500 800 700 100 360 0 700 100 500 0
76 -1 -1 500 500 -1 600 500 400 600 500 500 500 -1 500 400 500 500 600 450 600 500 500 400 500 500 500 500 500 500 400 500 500 500 600 500 500 500 500 400 450 600 600 500 600 500 500 -1 600 500 500 500 500 500 500 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 0 400 500 0
77 -1 -1 200 800 -1 100 200 400 100 200 800 525 -1 200 400 800 200 100 300 100 200 800 400 800 200 525 800 200 200 400 800 200 225 100 800 200 800 200 400 450 100 100 800 100 200 800 -1 100 800 200 200 800 200 220 800 200 400 400 200 400 350 400 200 100 200 400 800 250 800 200 200 800 100 400 270 800 100 0 200 0
